Name,skills
software engineer internship,"['java', 'scala', 'merchant', 'c#', 'ruby', 'python']"
software engineer intern (summer 2020),"['Go', 'java', 'c++', 'gin', 'python']"
software engineer summer intern - java,"['scripting', 'java', 'sql', 'perl', 'c++', 'prototyping', 'python']"
"software engineer - backend, c++","['java', 'c++', 'c', 'gin', 'javascript', 'python']"
ml infrastructure software engineer,"['scripting', 'java', 'scala', 'oop', 'machine learning', 'python']"
kinesso- software engineer,"['scripting', 'java', 'perl', 'php', 'gin', 'hibernate', 'python']"
software engineer (java),"['css', 'java', 'scala', 'ai', 'html', 'javascript']"
mobile software developer intern,"['java', 'scala', 'mysql', 'android', 'Kotlin', 'objective-c', 'ios', 'ruby', 'swift', 'rails', 'rest']"
software engineer,"['Go', 'c++', 'c', 'gin', 'python']"
software engineer,"['java', 'Kotlin', 'ruby', 'swift', 'rails', 'rest', 'javascript']"
software engineer - full stack,"['pytest', 'java', 'sql', 'c++', 'ruby', 'gin', 'javascript', 'python']"
"software engineer, numerical algorithms","['Go', 'java', 'Kotlin', 'ai', 'c++', 'c', 'python']"
frontend engineer,"['React', 'ply', 'js', 'Angular', 'javascript', 'Vue.js']"
software engineer - security,"['java', 'ai', 'objective-c', 'mobile', 'swift', 'javascript', 'python']"
"paid summer intern - graduate, software engineer (ml focused...","['scripting', 'java', 'scala', 'c++', 'python']"
software engineer,"['React', 'scala', 'ruby', 'gin', 'javascript', 'python']"
software engineer,"['android', 'mobile', 'ios', 'css/js/html', 'gin', 'python']"
"software engineer, care applications (new college grad)","['linux', 'java', 'scala', 'aws', 'airflow', 'sql', 'machine learning', 'spark', 'shell']"
software engineer 3,"['java', 'data analytics', 'c++', 'rest', 'javascript', 'python']"
jr. backend engineer,"['java', 'mysql', 'typescript', 'javascript', 'python']"
software engineer,"['java', 'aws', 'GCP', 'sql', 'microservices']"
software engineer,"['js', 'data architecture', 'Git', 'automation', 'visual', 'plan', 'ply', 'database', 'gin', 'Go', 'sql', 'mobile', 'html', 'scripting', 'css', 'java', 'Jenkins', 'ai', 'algorithms', 'javascript']"
"software engineer, frontend - university graduate","['scripting', 'React', 'css', 'Go', 'visual', 'ply', 'data architecture', 'ai', 'Angular', 'algorithms', 'rest', 'gin', 'javascript', 'python']"
software engineer,"['data architecture', 'JQuery', 'ios', 'Azure', 'c', '.net', 'android', 'visual', 'Object-oriented programming', 'c++', 'database', 'MVC', 'gin', 'sql', '.Net Framework', 'mobile', 'Net', 'microsoft sql', 'Microsoft Azure', 'scripting', 'css', 'Xamarin', 'ai', 'c#', 'algorithms', 'javascript']"
associate gameplay engineer,"['scripting', 'plan', 'ply', 'redis', 'data architecture', 'ai', 'perl', 'algorithms', 'c++', 'c', 'gin', 'python']"
machine learning software engineer,"['mysql', 'data architecture', 'c', 'scala', 'plan', 'ply', 'oracle', 'c++', 'machine learning', 'rest', 'gin', 'database', 'Go', 'Hadoop', 'apache', 'Net', 'java', 'redis', 'ai', 'algorithms', 'nosql']"
"software engineer, intern (health algorithms team)","['java', 'ply', 'aws', 'ai', 'rest', 'database', 'python']"
entry-level software developer,"['scripting', '.net', 'ply', 'Object-oriented programming', 'ai', '.Net Framework', 'mobile', 'c#', 'c++', 'c', 'gin', 'javascript']"
software engineer,"['React', 'docker', 'ply', 'aws', 'Object-oriented programming', 'ai', 'mobile', 'ruby', 'gin', 'database', 'javascript']"
